sku;name;weight;price;category;stock;description;image
CSH5ETU2N;Máscara Coco & Camomila by Vitória Lima EcoBelle 250g;250g;50.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/mascara-coco-camomila-by-vitoria-lima-ecobelle-250g-667ac429c4e0b-large.png
YAY98Z8BS;Shampoo Remineralizante Extrato de Algas Marinhas Eco Belle 1 L;1 L;34.99;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-remineralizante-extrato-de-algas-marinhas-eco-belle-1-l-65faebd9b4e35-large.png
GVBJKMNWQ;Emulsão Cremosa Oxidante OX20 Volumes EcoBelle 900 mL;900 mL;32.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/emulsao-cremosa-oxidante-ox20-volumes-ecobelle-900-ml-6927b05aad6c2-large.png
3FLD4KJBC;Máscara Ironed Hair 500g;500g;94.99;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/mascara-ironed-hair-500g-674123a094cdc-large.png
3L54PF3E4;Kit Manutenção Lama La Boue EcoBelle 300ml - 3 Itens;300ml;120.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-manutencao-lama-la-boue-ecobelle-300ml-3-itens-64f20fda924c9-large.png
49DXSAXM5;Máscara Pimenta Rosa Eco Belle 250 g;250 g;50.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/mascara-pimenta-rosa-eco-belle-250-g-64ef8eaa287f7-large.png
ULQHGSVA7;Shampoo Leite de Coco EcoBelle 2,5 L;2,5 L;110.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-ecobelle-25-l-64f2156968b67-large.png
7TNHTQDUL;Kit Curlys Cachos Bela Pro;;80.00;Bela Pro;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-curlys-cachos-bela-pro-66c69c30593a1-large.png
EJL97KLUE;Óleo de Argan EcoBelle 60 mL;60 mL;69.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/oleo-de-argan-ecobelle-60-ml-6669cd45b4fdb-large.png
RJZSGEAVY;Finalizador Térmico Coco & Camomila By Vitória Lima 200 mL;200 mL;80.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/finalizador-termico-coco-camomila-by-vitoria-lima-200-ml-667c4d7031e63-large.png
